url,source,country,status,finalUrl,redirected,probeMethod,contentLength,notes
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,db,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,false,HEAD,,This operation was aborted
https://canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html,db,CAN,TIMEOUT,https://canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html,false,HEAD,,This operation was aborted
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,db,CAN,TIMEOUT,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,false,HEAD,,This operation was aborted
https://www.mom.gov.sg/passes-and-permits/employment-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/employment-pass,false,HEAD,60057,status=200
https://www.mom.gov.sg/passes-and-permits/s-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/s-pass,false,HEAD,58583,status=200
https://www.mom.gov.sg/passes-and-permits/overseas-networks-expertise-pass,db,SGP,LIVE,https://www.mom.gov.sg/passes-and-permits/overseas-networks-expertise-pass,false,HEAD,57581,status=200
https://www.edb.gov.sg/en/incentives-and-programmes/incentives-and-facilitation-programmes/tech-pass.html,db,SGP,ERROR_4xx,https://www.edb.gov.sg/en/incentives-and-programmes/incentives-and-facilitation-programmes/tech-pass.html,false,HEAD,,status=403
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,false,HEAD,153633,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/specialist-skills-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/specialist-skills-stream,false,HEAD,153992,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/labour-agreement-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/labour-agreement-stream,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/points-tested,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/points-tested,false,HEAD,144833,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/hong-kong,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/hong-kong,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-nominated-190,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-nominated-190,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream,false,HEAD,146164,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream,false,HEAD,20,status=200
https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream,db,AUS,LIVE,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream,false,HEAD,20,status=200
